id	article	journal	year
3414	Best Practices in Data Warehousing.		2009
3415	Applications of Kernel Methods.		2009
3416	On Explanation-Oriented Data Mining.		2009
3417	Text Mining for Business Intelligence.		2009
3418	Classification and Regression Trees.		2009
3419	Using Dempster-Shafer Theory in Data Mining.		2009
3420	Outlier Detection Techniques for Data Mining.		2009
3421	Genetic Programming for Automatically Constructing Data Mining Algorithms.		2009
3422	Evaluation of Data Mining Methods.		2009
3423	Bibliomining for Library Decision-Making.		2009
3424	Discovering an Effective Measure in Data Mining.		2009
3425	Secure Building Blocks for Data Privacy.		2009
3426	Count Models for Software Quality Estimation.		2009
3427	Soft Computing for XML Data Mining.		2009
3428	Data Streams.		2009
3429	Online Analytical Processing Systems.		2009
3430	Analytical Knowledge Warehousing for Business Intelligence.		2009
3431	Classifying Two-Class Chinese Texts in Two Steps.		2009
3432	Compression-Based Data Mining.		2009
3433	Context-Driven Decision Mining.		2009
3434	Music Information Retrieval.		2009
3435	Uncertainty Operators in a Many-Valued Logic.		2009
3436	Feature Extraction/Selection in High-Dimensional Spectral Data.		2009
3437	Text Mining Methods for Hierarchical Document Indexing.		2009
3438	Data Confidentiality and Chase-Based Knowledge Discovery.		2009
3439	Mining Data Streams.		2009
3440	Automatic Genre-Specific Text Classification.		2009
3441	Semantic Multimedia Content Retrieval and Filtering.		2009
3442	Positive Unlabelled Learning for Document Classification.		2009
3443	Mining Chat Discussions.		2009
3444	Analytical Competition for Managing Customer Relations.		2009
3445	Association Bundle Identification.		2009
3446	A Method of Recognizing Entity and Relation.		2009
3447	Privacy-Preserving Data Mining.		2009
3448	Process Mining to Analyze the Behaviour of Specific Users.		2009
3449	Active Learning with Multiple Views.		2009
3450	Multiple Hypothesis Testing for Data Mining.		2009
3451	A Philosophical Perspective on Knowledge Creation.		2009
3452	Mining Data with Group Theoretical Means.		2009
3453	Cluster Analysis for Outlier Detection.		2009
3454	Evolutionary Mining of Rule Ensembles.		2009
3455	Visualization of High-Dimensional Data with Polar Coordinates.		2009
3456	Facial Recognition.		2009
3457	Techniques for Weighted Clustering Ensembles.		2009
3458	Wrapper Feature Selection.		2009
3459	Projected Clustering for Biological Data Analysis.		2009
3460	OLAP Visualization.		2009
3461	Data Mining Lessons Learned in the Federal Government.		2009
3462	Learning Exceptions to Refine a Domain Expertise.		2009
3463	Meta-Learning.		2009
3464	Soft Subspace Clustering for High-Dimensional Data.		2009
3465	Database Security and Statistical Database Security.		2009
3466	Materialized View Selection for Data Warehouse Design.		2009
3467	A Survey of Feature Selection Techniques.		2009
3468	Multiclass Molecular Classification.		2009
3469	Multilingual Text Mining.		2009
3470	Classification of Graph Structures.		2009
3471	Web Mining in Thematic Search Engines.		2009
3472	Computation of OLAP Data Cubes.		2009
3473	Document Indexing Techniques for Text Mining.		2009
3474	Variable Length Markov Chains for Web Usage Mining.		2009
3475	Discovering Unknown Patterns in Free Text.		2009
3476	Time-Constrained Sequential Pattern Mining.		2009
3477	Clustering Categorical Data with k-Modes.		2009
3478	Web Design Based on User Browsing Patterns.		2009
3479	Data-Driven Revision of Decision Models.		2009
3480	Context-Sensitive Attribute Evaluation.		2009
3481	Data Mining for Structural Health Monitoring.		2009
3482	Privacy Preserving OLAP and OLAP Security.		2009
3483	Discovery of Protein Interaction Sites.		2009
3484	Spatio-Temporal Data Mining for Air Pollution Problems.		2009
3485	Aligning the Warehouse and the Web.		2009
3486	View Selection in DW and OLAP.		2009
3487	Reasoning about Frequent Patterns with Negation.		2009
3488	Modeling Quantiles.		2009
3489	Association Rule Mining of Relational Data.		2009
3490	Histograms for OLAP and Data-Stream Queries.		2009
3491	Feature Selection.		2009
3492	Text Mining by Pseudo-Natural Language Understanding.		2009
3493	On Interactive Data Mining.		2009
3494	Scalable Non-Parametric Methods for Large Data Sets.		2009
3495	Mining Smart Card Data from an Urban Transit Network.		2009
3496	Cluster Analysis in Fitting Mixtures of Curves.		2009
3497	Graphical Data Mining.		2009
3498	Sequential Pattern Mining.		2009
3499	Online Signature Recognition.		2009
3500	Learning with Partial Supervision.		2009
3501	A Novel Approach on Negative Association Rules.		2009
3502	Modeling the KDD Process.		2009
3503	Data Mining for the Chemical Process Industry.		2009
3504	Data Mining Applications in the Hospitality Industry.		2009
3505	A General Model for Data Warehouses.		2009
3506	Data Quality in Data Warehouses.		2009
3507	Sentiment Analysis of Product Reviews.		2009
3508	Matrix Decomposition Techniques for Data Privacy.		2009
3509	Segmenting the Mature Travel Market with Data Mining Tools.		2009
3510	Profit Mining.		2009
3511	Pattern Synthesis in SVM Based Classifier.		2009
3512	Tree and Graph Mining.		2009
3513	Frequent Sets Mining in Data Stream Environments.		2009
3514	Anomaly Detection for Inferring Social Structure.		2009
3515	Learning from Data Streams.		2009
3516	Multiple Criteria Optimization in Data Mining.		2009
3517	New Opportunities in Marketing Data Mining.		2009
3518	Dynamic Data Mining.		2009
3519	Distributed Data Mining.		2009
3520	Clustering of Time Series Data.		2009
3521	Storage Systems for Data Warehousing.		2009
3522	A Genetic Algorithm for Selecting Horizontal Fragments.		2009
3523	Real-Time Face Detection and Classification for ICCTV.		2009
3524	Path Mining and Process Mining for Workflow Management Systems.		2009
3525	Data Mining on XML Data.		2009
3526	Association Rule Hiding Methods.		2009
3527	Statistical Metadata Modeling and Transformations.		2009
3528	Non-Linear Dimensionality Reduction Techniques.		2009
3529	Evolutionary Computation and Genetic Algorithms.		2009
3530	Web Page Extension of Data Warehouses.		2009
3531	Data Mining for Fraud Detection System.		2009
3532	Dynamical Feature Extraction from Brain Activity Time Series.		2009
3533	Preference Modeling and Mining for Personalization.		2009
3534	Formal Concept Analysis Based Clustering.		2009
3535	Statistical Web Object Extraction.		2009
3536	Data Mining for Model Identification.		2009
3537	Discovery Informatics from Data to Knowledge.		2009
3538	Behavioral Pattern-Based Customer Segmentation.		2009
3539	On Clustering Techniques.		2009
3540	A Data Distribution View of Clustering Algorithms.		2009
3541	Measuring the Interestingness of News Articles.		2009
3542	Flexible Mining of Association Rules.		2009
3543	Pattern Preserving Clustering.		2009
3544	Model Assessment with ROC Curves.		2009
3545	Mining Repetitive Patterns in Multimedia Data.		2009
3546	Hierarchical Document Clustering.		2009
3547	Fuzzy Methods in Data Mining.		2009
3548	Semi-Supervised Learning.		2009
3549	A Data Mining Methodology for Product Family Design.		2009
3550	Mass Informatics in Differential Proteomics.		2009
3551	Conceptual Modeling for Data Warehouse and OLAP Applications.		2009
3552	Efficient Graph Matching.		2009
3553	Data Mining with Incomplete Data.		2009
3554	The Personal Name Problem and a Data Mining Solution.		2009
3555	Program Mining Augmented with Empirical Properties.		2009
3556	Utilizing Fuzzy Decision Trees in Decision Making.		2009
3557	Data Mining in the Telecommunications Industry.		2009
3558	Database Sampling for Data Mining.		2009
3559	Evolutionary Approach to Dimensionality Reduction.		2009
3560	Integration of Data Mining and Operations Research.		2009
3561	Using Prior Knowledge in Data Mining.		2009
3562	Bioinformatics and Computational Biology.		2009
3563	Learning Bayesian Networks.		2009
3564	Audio and Speech Processing for Data Mining.		2009
3565	Comparing Four-Selected Data Mining Software.		2009
3566	Search Situations and Transitions.		2009
3567	Data Mining for Obtaining Secure E-Mail Communications.		2009
3568	Deep Web Mining through Web Services.		2009
3569	Multi-Instance Learning with MultiObjective Genetic Programming.		2009
3570	Instance Selection.		2009
3571	Constraint-Based Pattern Discovery.		2009
3572	Perspectives and Key Technologies of Semantic Web Search.		2009
3573	Secure Computation for Privacy Preserving Data Mining.		2009
3574	Data Mining for Internationalization.		2009
3575	Web Mining Overview.		2009
3576	Web Usage Mining with Web Logs.		2009
3577	Scientific Web Intelligence.		2009
3578	Neural Networks and Graph Transformations.		2009
3579	Distributed Data Aggregation Technology for Real-Time DDoS Attacks Detection.		2009
3580	Data Mining Applications in Steel Industry.		2009
3581	On Association Rule Mining for the QSAR Problem.		2009
3582	Data Warehouse Performance.		2009
3583	Enclosing Machine Learning.		2009
3584	Locally Adaptive Techniques for Pattern Classification.		2009
3585	Ethics of Data Mining.		2009
3586	Mining the Internet for Concepts.		2009
3587	Constrained Data Mining.		2009
3588	Constraint-Based Association Rule Mining.		2009
3589	Stages of Knowledge Discovery in E-Commerce Sites.		2009
3590	Decision Tree Induction.		2009
3591	Physical Data Warehousing Design.		2009
3592	Distance-Based Methods for Association Rule Mining.		2009
3593	Receiver Operating Characteristic (ROC) Analysis.		2009
3594	Extending a Conceptual Multidimensional Model for Representing Spatial Data.		2009
3595	Knowledge Acquisition from Semantically Heterogeneous Data.		2009
3596	Incremental Mining from News Streams.		2009
3597	Mining Generalized Association Rules in an Evolving Environment.		2009
3598	Clustering Analysis of Data with High Dimensionality.		2009
3599	Statistical Models for Operational Risk.		2009
3600	Data Warehousing for Association Mining.		2009
3601	Legal and Technical Issues of Privacy Preservation in Data Mining.		2009
3602	Multidimensional Modeling of Complex Data.		2009
3603	Clustering Data in Peer-to-Peer Systems.		2009
3604	Audio Indexing.		2009
3605	Physical Analogies for Ear Recognition.		2009
3606	Segmentation of Off-Axis Iris Images.		2009
3607	Operational Times.		2009
3608	Face Recognition, Thermal.		2009
3609	 Iris Biometric Systems.		2009
3610	Keystroke Recognition.		2009
3611	Fingerprint Indexing.		2009
3612	Fingerprint, Palmprint, Handprint and Soleprint Sensor.		2009
3613	Speaker Recognition, Standardization.		2009
3614	Face Recognition, Component-Based.		2009
3615	Hand Geometry.		2009
3616	Iris Recognition at Airports and Border-Crossings.		2009
3617	Iris Device.		2009
3618	Forensic Applications, Overview.		2009
3619	Fusion, Sensor-Level.		2009
3620	Speech Production.		2009
3621	Face Recognition, Overview.		2009
3622	Access Control, Physical.		2009
3623	And-Or Graph Model for Faces.		2009
3624	Hand Shape.		2009
3625	Human Detection and Tracking.		2009
3626	Simultaneous Capture of Iris and Retina for Recognition.		2009
3627	Palmprint Features.		2009
3628	Lip Movement Recognition.		2009
3629	Footwear Recognition.		2009
3630	Fusion, Decision-Level.		2009
3631	Finger Geometry, 3D.		2009
3632	Universal Background Models.		2009
3633	Anatomy of Face.		2009
3634	Tamper-proof Operating System.		2009
3635	Iris Recognition Using Correlation Filters.		2009
3636	Fusion, Feature-Level.		2009
3637	Performance Measures.		2009
3638	Independent Component Analysis.		2009
3639	Anatomy of Hand.		2009
3640	Transportable Asset Protection.		2009
3641	Voice, Forensic Evidence of.		2009
3642	Speech Analysis.		2009
3643	Biometric Data Interchange Format, Standardization.		2009
3644	Security and Liveness, Overview.		2009
3645	Iris Acquisition Device.		2009
3646	Multibiometrics and Data Fusion, Standardization.		2009
3647	Common Biometric Exchange Formats Framework Standardization.		2009
3648	Interoperable Performance.		2009
3649	Configuration Issues, System Design.		2009
3650	Signature Sample Synthesis.		2009
3651	Ear Biometrics.		2009
3652	User Acceptance.		2009
3653	Vascular Image Data Format, Standardization.		2009
3654	Iris Digital Watermarking.		2009
3655	Heterogeneous Face Biometrics.		2009
3656	Digitizing Tablet.		2009
3657	Finger Vein.		2009
3658	Back-of-Hand Vascular Recognition.		2009
3659	Face Databases and Evaluation.		2009
3660	Access Control, Logical.		2009
3661	Security Issues, System Design.		2009
3662	Background Checks.		2009
3663	Palm Vein.		2009
3664	.		2009
3665	Skin Texture.		2009
3666	Encryption, Biometric.		2009
3667	Fusion, Quality-Based.		2009
3668	Speaker Segmentation.		2009
3669	Embedded Systems.		2009
3670	Zero Effort Forgery.		2009
3671	Iris Encoding and Recognition using Gabor Wavelets.		2009
3672	Face Sample Synthesis.		2009
3673	Score Normalization Rules in Iris Recognition.		2009
3674	Law Enforcement.		2009
3675	Multiple Experts.		2009
3676	Psychology of Gait and Action Recognition.		2009
3677	Evaluation of Gait Recognition.		2009
3678	Face Tracking.		2009
3679	Sources of Information in Biometric Fusion.		2009
3680	Finger Vein Biometric Algorithm.		2009
3681	Fingerprint Features.		2009
3682	Fingerprint Image Quality.		2009
3683	Multibiometrics.		2009
3684	Fingerprint Databases and Evaluation.		2009
3685	Fingerprint, Forensic Evidence of.		2009
3686	Face Alignment.		2009
3687	Voice Sample Synthesis.		2009
3688	Face Recognition, 3D-Based.		2009
3689	Iris Image Quality.		2009
3690	Performance Testing Methodology Standardization.		2009
3691	Fingerprint Classification.		2009
3692	Liveness Assurance in Voice Authentication.		2009
3693	Liveness Detection: Fingerprint.		2009
3694	Footstep Recognition.		2009
